,beds,full_baths,sqft,year_built,list_price,price_per_sqft
1,4.0,2.0,1782.0,1960.0,739000.0,415.0
2,3.0,4.0,4003.0,2015.0,15500000.0,3872.0
3,3.0,1.0,1092.0,1986.0,549000.0,503.0
4,3.0,2.0,1182.0,1985.0,649000.0,549.0
5,2.0,3.0,3978.0,1960.0,2600000.0,654.0
6,1.0,1.0,780.0,1988.0,1900000.0,2436.0
11,7.0,4.0,2400.0,1887.0,950000.0,396.0
13,2.0,1.0,1200.0,1960.0,359000.0,299.0
14,2.0,2.0,1200.0,1962.0,536000.0,447.0
15,7.0,4.0,3404.0,1930.0,1199000.0,352.0
16,3.0,2.0,1344.0,1925.0,799999.0,595.0
22,1.0,1.0,750.0,1977.0,474900.0,633.0
23,1.0,1.0,720.0,1959.0,550000.0,764.0
25,6.0,2.0,2100.0,1960.0,898000.0,428.0
26,1.0,1.0,1000.0,1937.0,625000.0,625.0
27,6.0,5.0,2400.0,2008.0,1100000.0,458.0
28,3.0,3.0,1530.0,1986.0,575000.0,376.0
29,6.0,3.0,3354.0,1920.0,1125000.0,335.0
30,2.0,2.0,992.0,1964.0,379999.0,383.0
34,2.0,1.0,675.0,1949.0,310000.0,459.0
35,0.0,1.0,394.0,1925.0,210000.0,533.0
36,2.0,1.0,900.0,1939.0,179000.0,199.0
41,1.0,1.0,735.0,1950.0,165000.0,224.0
42,2.0,1.0,975.0,1950.0,267500.0,274.0
44,4.0,1.0,1196.0,1978.0,669999.0,560.0
45,3.0,2.0,1500.0,1930.0,1248000.0,832.0
46,3.0,3.0,2054.0,2008.0,4250000.0,2069.0
48,4.0,2.0,2185.0,1940.0,1099999.0,503.0
49,5.0,2.0,1984.0,1960.0,949999.0,479.0
50,4.0,2.0,2264.0,1935.0,1499999.0,663.0
51,2.0,2.0,1475.0,1951.0,2950000.0,2000.0
52,3.0,1.0,1280.0,1992.0,530000.0,414.0
53,0.0,1.0,400.0,1925.0,210000.0,525.0
54,6.0,3.0,2456.0,1960.0,1595000.0,649.0
55,9.0,3.0,3600.0,1910.0,1995000.0,554.0
57,6.0,4.0,3328.0,2006.0,1500000.0,451.0
58,6.0,4.0,3390.0,2006.0,1500000.0,442.0
59,3.0,2.0,1700.0,1920.0,425000.0,250.0
61,3.0,2.0,1360.0,1955.0,694000.0,510.0
62,4.0,2.0,2264.0,1935.0,1499999.0,663.0
64,2.0,2.0,966.0,1965.0,189000.0,196.0
66,3.0,3.0,1096.0,1920.0,1030000.0,940.0
67,2.0,2.0,960.0,1907.0,499900.0,521.0
68,3.0,3.0,1096.0,1920.0,1030000.0,940.0
69,6.0,3.0,2223.0,1987.0,699000.0,314.0
70,2.0,2.0,825.0,2023.0,780000.0,945.0
71,2.0,2.0,937.0,2023.0,849000.0,906.0
72,3.0,2.0,1560.0,1940.0,1250000.0,801.0
75,3.0,1.0,1494.0,1952.0,795000.0,532.0
77,2.0,2.0,1369.0,2016.0,1350000.0,986.0
78,1.0,1.0,800.0,1963.0,300000.0,375.0
