,style,street,city,zip_code,beds,full_baths,sqft,year_built,days_on_mls,list_price,price_per_sqft,year,month,day
0,MULTI_FAMILY,567  St Johns Pl,Brooklyn,11238,2.0,8.0,,1952.0,6,3400000.0,,2023,12,31
1,SINGLE_FAMILY,2841  Buhre Ave,Bronx,10461,4.0,2.0,1782.0,1960.0,6,739000.0,415.0,2023,12,31
2,CONDOS,432  Park Ave,New York,10022,3.0,4.0,4003.0,2015.0,6,15500000.0,3872.0,2023,12,31
3,CONDOS,4  Jamie Ct,Staten Island,10314,3.0,1.0,1092.0,1986.0,6,549000.0,503.0,2023,12,31
4,CONDOS,163-04  71st Ave,Fresh Meadows,11365,3.0,2.0,1182.0,1985.0,6,649000.0,549.0,2023,12,31
5,MULTI_FAMILY,99  Bay 11th St,Brooklyn,11228,2.0,3.0,3978.0,1960.0,6,2600000.0,654.0,2023,12,31
6,CONDOS,301 W 57th St,New York,10019,1.0,1.0,780.0,1988.0,6,1900000.0,2436.0,2023,12,31
7,COOP,1  Fordham Hill Oval,Bronx,10468,1.0,1.0,,1950.0,6,165000.0,,2023,12,31
8,MULTI_FAMILY,21-12  23rd Ter,Long Island City,11105,4.0,3.0,,1935.0,6,1560000.0,,2023,12,31
9,MULTI_FAMILY,174  Essex St,Brooklyn,11208,6.0,3.0,,1901.0,6,1100000.0,,2023,12,31
10,COOP,1  Fordham Hill Oval,Bronx,10468,1.0,1.0,,1950.0,6,165000.0,,2023,12,31
11,MULTI_FAMILY,156-22  Tuskegee Airmen Way,Jamaica,11433,7.0,4.0,2400.0,1887.0,6,950000.0,396.0,2023,12,31
12,SINGLE_FAMILY,118-43  226th St,Jamaica,11411,4.0,3.0,,1950.0,6,829000.0,,2023,12,31
13,COOP,55-30  99 St,Corona,11368,2.0,1.0,1200.0,1960.0,6,359000.0,299.0,2023,12,31
14,COOP,3671  Hudson Manor Ter,Bronx,10463,2.0,2.0,1200.0,1962.0,6,536000.0,447.0,2023,12,31
15,MULTI_FAMILY,588  Bristol St,Brooklyn,11212,7.0,4.0,3404.0,1930.0,6,1199000.0,352.0,2023,12,31
16,SINGLE_FAMILY,2047 E 38th St,Brooklyn,11234,3.0,2.0,1344.0,1925.0,7,799999.0,595.0,2023,12,30
17,SINGLE_FAMILY,152-01  33rd Ave,Flushing,11354,3.0,2.0,,1940.0,7,950000.0,,2023,12,30
18,COOP,6120  Grand Central Pkwy,Forest Hills,11375,1.0,1.0,,1965.0,7,213999.0,,2023,12,30
19,CONDOS,2  Bay Club Dr,Bayside,11360,2.0,2.0,,1983.0,7,628000.0,,2023,12,30
20,SINGLE_FAMILY,135-20  Lefferts Blvd,South Ozone Park,11420,3.0,2.0,,1925.0,7,850000.0,,2023,12,30
21,COOP,140 W 69th St,New York,10023,0.0,1.0,,1903.0,7,395000.0,,2023,12,30
22,CONDOS,4641  Bedford Ave,Brooklyn,11235,1.0,1.0,750.0,1977.0,7,474900.0,633.0,2023,12,30
23,CONDOS,88-30  51st Ave,Elmhurst,11373,1.0,1.0,720.0,1959.0,7,550000.0,764.0,2023,12,30
24,SINGLE_FAMILY,79-36  261st St,Floral Park,11004,3.0,1.0,,1950.0,7,799000.0,,2023,12,30
25,MULTI_FAMILY,15  Spratt Ave,Staten Island,10306,6.0,2.0,2100.0,1960.0,7,898000.0,428.0,2023,12,30
26,COOP,960-960  Sterling Pl,Brooklyn,11216,1.0,1.0,1000.0,1937.0,7,625000.0,625.0,2023,12,30
27,MULTI_FAMILY,1749  Seward Ave,Bronx,10473,6.0,5.0,2400.0,2008.0,7,1100000.0,458.0,2023,12,30
28,CONDOS,151-33  78th St,Queens,11414,3.0,3.0,1530.0,1986.0,7,575000.0,376.0,2023,12,30
29,MULTI_FAMILY,1046  Morris Ave,Bronx,10456,6.0,3.0,3354.0,1920.0,7,1125000.0,335.0,2023,12,30
30,CONDOS,86-11  151st Ave,Howard Beach,11414,2.0,2.0,992.0,1964.0,7,379999.0,383.0,2023,12,30
31,SINGLE_FAMILY,109-14  214th St,Jamaica,11429,4.0,2.0,,1945.0,7,489000.0,,2023,12,30
32,MULTI_FAMILY,1406  Mac Donough Pl,Bronx,10465,2.0,2.0,,1925.0,7,600000.0,,2023,12,30
33,SINGLE_FAMILY,57-50  Mazeau St,Maspeth,11378,3.0,1.0,,1925.0,7,929000.0,,2023,12,30
34,COOP,247-16A  76 Ave,Bellerose,11426,2.0,1.0,675.0,1949.0,7,310000.0,459.0,2023,12,30
35,CONDOS,400  Cozine Ave,Brooklyn,11207,0.0,1.0,394.0,1925.0,7,210000.0,533.0,2023,12,30
36,COOP,3321  Bruckner Blvd,Bronx,10461,2.0,1.0,900.0,1939.0,7,179000.0,199.0,2023,12,30
37,SINGLE_FAMILY,3063  Brighton 4th St,Brooklyn,11235,0.0,2.0,,1952.0,7,1175000.0,,2023,12,30
38,SINGLE_FAMILY,3065  Brighton 4th St,Brooklyn,11235,0.0,2.0,,1952.0,7,1175000.0,,2023,12,30
39,SINGLE_FAMILY,3028  Brighton 7th St,Brooklyn,11235,0.0,2.0,,1952.0,7,1175000.0,,2023,12,30
40,SINGLE_FAMILY,3026  Brighton 7th St,Brooklyn,11235,0.0,2.0,,1952.0,7,1175000.0,,2023,12,30
41,COOP,1  Fordham Hill Oval,Bronx,10468,1.0,1.0,735.0,1950.0,8,165000.0,224.0,2023,12,29
42,COOP,1  Fordham Hill Oval,Bronx,10468,2.0,1.0,975.0,1950.0,8,267500.0,274.0,2023,12,29
43,SINGLE_FAMILY,194  Carroll St,Brooklyn,11231,4.0,3.0,,1900.0,8,649000.0,,2023,12,29
44,SINGLE_FAMILY,416  Colon Ave,Staten Island,10308,4.0,1.0,1196.0,1978.0,8,669999.0,560.0,2023,12,29
45,SINGLE_FAMILY,30-40  88th St,East Elmhurst,11369,3.0,2.0,1500.0,1930.0,8,1248000.0,832.0,2023,12,29
46,CONDOS,255 E 74th St,Manhattan,10021,3.0,3.0,2054.0,2008.0,8,4250000.0,2069.0,2023,12,29
47,MULTI_FAMILY,396  Barbey St,Brooklyn,11207,6.0,2.0,,2005.0,8,1100000.0,,2023,12,29
48,MULTI_FAMILY,3186  Tierney Pl,Bronx,10465,4.0,2.0,2185.0,1940.0,8,1099999.0,503.0,2023,12,29
49,MULTI_FAMILY,1429 E 89th St,Brooklyn,11236,5.0,2.0,1984.0,1960.0,8,949999.0,479.0,2023,12,29
50,TOWNHOMES,3623  Avenue T,Brooklyn,11234,4.0,2.0,2264.0,1935.0,8,1499999.0,663.0,2023,12,29
51,CONDOS,200 E 66th St,New York,10065,2.0,2.0,1475.0,1951.0,8,2950000.0,2000.0,2023,12,29
52,TOWNHOMES,14  Long Pond Ln,Staten Island,10304,3.0,1.0,1280.0,1992.0,8,530000.0,414.0,2023,12,29
53,CONDOS,400  Cozine Ave,Brooklyn,11207,0.0,1.0,400.0,1925.0,8,210000.0,525.0,2023,12,29
54,MULTI_FAMILY,39-31  Francis Lewis Blvd,Bayside,11361,6.0,3.0,2456.0,1960.0,8,1595000.0,649.0,2023,12,29
55,MULTI_FAMILY,673  Knickerbocker Ave,Brooklyn,11221,9.0,3.0,3600.0,1910.0,8,1995000.0,554.0,2023,12,29
56,COOP,32  Downing St,Manhattan,10014,1.0,1.0,,1910.0,8,850000.0,,2023,12,29
57,MULTI_FAMILY,51  Jefferson Ave,Staten Island,10306,6.0,4.0,3328.0,2006.0,8,1500000.0,451.0,2023,12,29
58,MULTI_FAMILY,51  Jefferson Ave,Staten Island,10306,6.0,4.0,3390.0,2006.0,8,1500000.0,442.0,2023,12,29
59,MULTI_FAMILY,747 E 217th St,Bronx,10467,3.0,2.0,1700.0,1920.0,8,425000.0,250.0,2023,12,29
60,COOP,20  Continental Ave,Queens,11375,5.0,2.0,,1932.0,8,1088000.0,,2023,12,29
61,SINGLE_FAMILY,364  Armstrong Ave,Staten Island,10308,3.0,2.0,1360.0,1955.0,8,694000.0,510.0,2023,12,29
62,SINGLE_FAMILY,3623  Avenue T,Brooklyn,11234,4.0,2.0,2264.0,1935.0,8,1499999.0,663.0,2023,12,29
63,COOP,150-25  72nd Rd,Flushing,11367,1.0,1.0,,1950.0,8,219000.0,,2023,12,29
